"Author";"NP"
"THEODORIDIS Y";2
"THIELE M";2
"THUMMARAKOTI S";2
"TIAN G";2
"TIAN Y";2
"TOLSTOY A";2
"TOMAR P";2
"TOMFORDE S";2
"TONG D";2
"TÖNJES R";2
"TOPKAYA A";2
"TORRE-BASTIDA AI";2
"TOULOUMIS K";2
"TRAN VP";2
"TRICOMI G";2
"TRIPATHI D";2
"TRUJILLO J";2
"TU J";2
"TU X";2
"TULBURE AA";2
"TURKMEN F";2
"TZOVARAS D";2
"UDOFIA E";2
"USKENBAYEVA R";2
"VAN HOVELL H";2
"VANSUMMEREN S";2
"VASSILIADIS P";2
"VEERKAMP RF";2
"VENKATESAN M";2
"VENKATRAMAN R";2
"VENKATRAMAN S";2
"VENUGOPAL VE";2
"VERHAGEN WJC";2
"VERMA A";2
"VIDAL M-E";2
"VIJAY A";2
"VINCENZI A";2
"VISSER B";2
"VITO C";2
"VO KT";2
"VORONIN VA";2
"VOUROS G";2
"WANE S";2
"WANG A";2
"WANG H-C";2
"WANG R-F";2
"WASEEM M";2
"WATZ E";2
"WEBBER T";2
"WEERS J";2
"WEI D";2
"WEI Y";2
"WEN X";2
"WHIG P";2
"WHITE M";2
"WIENER P";2
"WU B";2
"WU F";2
"WU H";2
"WU P";2
"WU Q";2
"WU W";2
"XI X";2
"XIA X";2
"XIA Y";2
